id_capacidad|habitaciones|camas|id_sub_act|id_categoria|cod_canton
546|132|304|20|24|1501
547|152|297|20|23|1501
548|27|79|21|25|1501
549|41|85|29|26|1501
550|42|110|17|22|1602
551|30|67|19|24|1602
552|27|45|20|23|1602
553|17|31|9|21|1601
554|10|23|17|24|1601
555|117|252|17|23|1601
556|381|737|17|22|1601
557|298|715|19|24|1601
558|22|54|20|24|1601
559|214|390|20|23|1601
560|12|31|21|25|1601
561|10|29|17|22|1603
562|7|15|21|25|1603
563|3|9|9|21|1702
564|10|22|16|24|1702
565|18|24|17|23|1702
566|182|331|17|22|1702
567|39|53|17|23|1702
568|22|44|19|25|1702
569|42|101|19|24|1702
570|20|27|20|24|1702
571|9|38|28|21|1702
572|27|53|16|24|1703
573|20|30|17|24|1703
574|138|238|17|22|1703
575|13|22|17|24|1703
576|22|82|19|26|1703
577|64|138|19|25|1703
578|96|230|19|24|1703
579|34|58|20|24|1703
580|6|15|28|21|1703
581|14|18|17|23|1704
582|10|10|17|22|1704
583|38|74|19|25|1704
584|24|44|19|24|1704
585|14|24|20|23|1704
586|4|5|9|21|1708
587|80|143|17|22|1708
588|60|188|19|26|1708
589|57|117|19|25|1708
590|36|93|19|24|1708
591|73|109|20|23|1708
592|12|27|8|21|1709
593|14|24|17|24|1709
594|20|43|17|22|1709
595|52|106|19|25|1709
596|37|84|19|24|1709
597|12|22|20|23|1709
598|47|90|8|21|1701
599|30|42|9|21|1701
600|34|55|16|26|1701
601|6|18|16|25|1701
602|36|65|16|24|1701
603|288|456|17|24|1701
604|4386|1042|17|23|1701
605|3401|4222|17|22|1701
606|59|83|19|26|1701
607|87|152|19|25|1701
608|177|358|19|24|1701
609|1698|2020|20|26|1701
610|1181|1818|20|25|1701
611|1735|2740|20|24|1701
612|848|1188|20|23|1701
613|31|38|21|26|1701
614|45|76|21|25|1701
615|10|12|28|21|1701
616|36|54|17|24|1705
617|48|96|17|23|1705
618|210|297|17|22|1705
619|22|40|19|26|1705
620|105|212|19|24|1705
621|51|82|20|23|1705
622|20|60|8|21|1707
623|29|73|9|21|1707
624|56|108|17|24|1707
625|19|33|17|23|1707
626|129|272|17|22|1707
627|43|100|19|26|1707
628|107|273|19|25|1707
629|259|660|19|24|1707
630|32|68|20|23|1707
631|0|0|28|21|1707
632|22|28|17|23|1801
633|172|317|17|22|1801
634|24|28|17|24|1801
635|13|26|17|23|1801
636|6|15|19|25|1801
637|17|31|19|24|1801
638|255|511|20|25|1801
639|142|245|20|24|1801
640|549|1100|20|23|1801
641|3|15|8|21|1802
642|25|51|9|21|1802
643|62|197|17|24|1802
644|226|523|17|23|1802
645|1426|3331|17|22|1802
646|52|94|17|23|1802
647|42|85|19|26|1802
648|27|57|19|25|1802
649|85|234|19|24|1802
650|114|264|20|25|1802
651|61|181|20|24|1802
652|472|1082|20|23|1802
653|9|12|19|24|1803
654|6|10|19|25|1804
655|14|25|17|22|1805
656|21|46|19|25|1805
657|21|46|19|24|1805
658|27|55|17|23|1807
659|23|40|20|23|1807
660|60|162|17|22|1808
661|16|33|19|24|1808
662|9|17|19|24|1809
663|27|30|17|22|1902
664|24|36|17|23|1906
665|16|37|17|22|1906
666|13|17|17|23|1903
667|15|27|17|22|1903
668|21|39|19|24|1903
669|7|14|19|24|1908
670|10|15|17|22|1909
671|29|45|17|23|1905
672|118|186|17|22|1905
673|20|39|19|24|1905
674|25|33|20|24|1905
675|44|79|17|23|1901
676|101|177|17|22|1901
677|32|90|19|24|1901
678|55|101|20|23|1901
679|20|39|21|24|1901
680|24|35|8|21|2002
681|56|113|9|21|2002
682|438|1104|17|24|2002
683|34|65|20|25|2002
684|32|74|20|24|2002
685|37|76|21|25|2002
686|72|137|9|21|2001
687|426|921|17|24|2001
688|21|40|20|26|2001
689|39|78|20|25|2001
690|268|615|20|24|2001
691|5|15|21|25|2001
692|8|24|8|21|2003
693|97|177|9|21|2003
694|863|2076|17|24|2003
695|14|28|20|26|2003
696|256|541|20|25|2003
697|463|1089|20|24|2003
698|112|266|21|25|2003
699|15|24|17|22|2106
700|13|13|17|23|2106
701|23|46|17|23|2107
702|35|60|17|22|2107
703|14|22|19|24|2107
704|33|111|21|25|2107
705|1|100|8|21|2102
706|29|59|19|25|2102
707|51|78|20|23|2102
708|1|13|9|21|2101
709|147|272|17|23|2101
710|274|477|17|22|2101
711|82|110|17|23|2101
712|77|154|20|26|2101
713|43|88|20|25|2101
714|215|318|20|24|2101
715|594|976|20|23|2101
716|12|23|9|21|2103
717|12|18|17|23|2103
718|15|25|17|22|2103
719|38|43|17|23|2103
720|30|81|19|24|2103
721|39|98|21|25|2103
722|33|51|17|24|2104
723|14|21|17|23|2104
724|109|197|17|22|2104
725|17|17|17|23|2104
726|41|86|19|26|2104
727|54|78|19|25|2104
728|69|124|19|24|2104
729|29|32|20|26|2104
730|46|77|20|25|2104
731|52|84|20|24|2104
732|293|545|20|23|2104
733|12|14|17|22|2105
